candidate_id,current_title,current_company,current_industry,location,country,years_of_experience,career_text,skills_text,jd_fit_gate_score,career_evidence_score,jd_keyword_score,title_score,experience_score,location_score,product_ml_signal,hireability_modifier,consistency_modifier,ai_term_count,career_ai_term_count,system_evidence_count,ranking_system_evidence,trendy_framework_count,expert_zero_duration_count,last_active_days,recruiter_response_rate,interview_completion_rate,offer_acceptance_rate,notice_period_days,open_to_work_flag,willing_to_relocate,dense_score,bm25_score,rrf_score,dense_rank,bm25_rank,skill_match_score,final_score,flags_json,evidence_json
CAND_0000031,Recommendation Systems Engineer,Swiggy,Food Delivery,"Hyderabad, Telangana",India,6.0,"Role 1
Company: Swiggy
Title: Recommendation Systems Engineer
Industry: Food Delivery
Duration months: 14
Current: True
Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell time vs. downstream conversion) — that work was as important as the modeling itself.
Role 2
Company: Mad Street Den
Title: Search Engineer
Industry: AI/ML
Duration months: 16
Current: False
Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell time vs. downstream conversion) — that work was as important as the modeling itself.
Role 3
Company: Uber
Title: NLP Engineer
Industry: Transportation
Duration months: 27
Current: False
Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell time vs. downstream conversion) — that work was as important as the modeling itself.
Role 4
Company: Zomato
Title: Applied ML Engineer
Industry: Food Delivery
Duration months: 13
Current: False
Description: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved revenue-per-search by 12%.","Go, MLflow, FAISS, Pinecone, Angular, Image Classification, Machine Learning, Speech Recognition, BentoML, MLOps, Embeddings, Information Retrieval, Hugging Face Transformers, Feature Engineering, Sentence Transformers, scikit-learn, Marketing",1.0,1.0,0.495,0.58,0.88,1.0,1.0,1.1015073333333332,0.82,11,5,6,3,0,0,39,0.91,0.6,0.38,60,True,True,1.0,1.0,1.0,1,1,0.8655,0.7817507695399999,[],"{""current_duration_months"": 14, ""top_skills"": [""Go"", ""MLflow"", ""FAISS"", ""Pinecone"", ""Angular"", ""Image Classification"", ""Machine Learning"", ""Speech Recognition""], ""career_excerpt"": ""Role 1 Company: Swiggy Title: Recommendation Systems Engineer Industry: Food Delivery Duration months: 14 Current: True Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: c""}"
CAND_0000001,Backend Engineer,Mindtree,IT Services,Toronto,Canada,6.9,"Role 1
Company: Mindtree
Title: Backend Engineer
Industry: IT Services
Duration months: 27
Current: True
Description: Implemented streaming data pipelines on Kafka and Spark Streaming for a real-time user-activity processing platform. Designed the schema-registry integration, the watermark/state management approach, and the deduplication logic for late-arriving events. Worked closely with the data science team to make sure feature pipelines aligned with what their models needed. Most of my career has been data engineering, with some adjacent ML exposure.
Role 2
Company: Dunder Mifflin
Title: Analytics Engineer
Industry: Paper Products
Duration months: 55
Current: False
Description: Built and maintained data pipelines on Apache Airflow processing ~500GB of daily transactional data across 12 source systems. Worked extensively with Spark (PySpark) for batch processing and dbt for the transformation/modeling layer in our Snowflake warehouse. Owned the on-call rotation for data quality issues — wrote most of the data quality checks that detect schema drift and unusual volume changes. The pipeline supports the analytics team and a few internal ML models.","Tailwind, NLP, Image Classification, Fine-tuning LLMs, Weights & Biases, Speech Recognition, Photoshop, TTS, LoRA, Apache Beam, AWS, Flask, BentoML, Milvus, GANs, Statistical Modeling, GCP",1.0,0.11000000000000001,0.315,0.58,0.9857142857142858,0.25,0.36,1.023659111111111,0.82,7,1,1,0,0,0,43,0.34,0.71,0.58,60,True,False,0.46048797760489496,0.4282569851248774,0.939350864723999,7,3,0.5322052594171996,0.4467333454826084,[],"{""current_duration_months"": 27, ""top_skills"": [""Tailwind"", ""NLP"", ""Image Classification"", ""Fine-tuning LLMs"", ""Weights & Biases"", ""Speech Recognition"", ""Photoshop"", ""TTS""], ""career_excerpt"": ""Role 1 Company: Mindtree Title: Backend Engineer Industry: IT Services Duration months: 27 Current: True Description: Implemented streaming data pipelines on Kafka and Spark Streaming for a real-time user-activity processing platform. Designed the schema-registry integration, the""}"
CAND_0000015,Software Engineer,Razorpay,Fintech,"Trivandrum, Kerala",India,5.4,"Role 1
Company: Razorpay
Title: Software Engineer
Industry: Fintech
Duration months: 31
Current: True
Description: Cloud infrastructure and DevOps work at an enterprise SaaS company. Owned the AWS account architecture (VPC, IAM, networking), the Terraform modules for our service deployments, and the Kubernetes cluster operations. Designed the CI/CD pipelines (GitLab CI + ArgoCD) and the monitoring stack (Prometheus, Grafana, Loki). Strong on the infra and ops side; haven't done much application development.
Role 2
Company: Hooli
Title: Mobile Developer
Industry: Software
Duration months: 24
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.
Role 3
Company: Globex Inc
Title: DevOps Engineer
Industry: Manufacturing
Duration months: 9
Current: False
Description: Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the customer onboarding flow which involved orchestrating multiple downstream services. Solid on the Spring ecosystem, transaction handling, and the operational side of Java services. Looking to either go deeper on distributed systems or expand into modern application stacks.","PyTorch, Content Writing, Weights & Biases, Qdrant, Sales, Figma, BigQuery, Computer Vision, Next.js, SEO",1.0,0.14,0.105,0.58,0.88,0.65,0.36,0.9990197222222221,1.0,2,0,2,0,1,0,140,0.32,0.72,-1.0,90,True,False,0.07519906843090333,0.11803443205661347,0.6520927601809955,44,25,0.4466278280542987,0.44619000871951986,[],"{""current_duration_months"": 31, ""top_skills"": [""PyTorch"", ""Content Writing"", ""Weights & Biases"", ""Qdrant"", ""Sales"", ""Figma"", ""BigQuery"", ""Computer Vision""], ""career_excerpt"": ""Role 1 Company: Razorpay Title: Software Engineer Industry: Fintech Duration months: 31 Current: True Description: Cloud infrastructure and DevOps work at an enterprise SaaS company. Owned the AWS account architecture (VPC, IAM, networking), the Terraform modules for our service ""}"
CAND_0000010,Data Engineer,Ola,Transportation,London,UK,4.6,"Role 1
Company: Ola
Title: Data Engineer
Industry: Transportation
Duration months: 55
Current: True
Description: Mixed data science and analytics-engineering role at a marketing-analytics startup. Spent maybe 30% of my time on lightweight ML (clustering, classification, churn prediction in sklearn/XGBoost) and 70% on data infrastructure and dashboards. Comfortable with the modeling work but I wouldn't call myself an ML specialist. Built our experimentation framework that supports the product team's A/B tests.","GCP, Spring Boot, Kubeflow, Java, GANs, Figma, Elasticsearch, OpenCV, CNN, Azure, Prompt Engineering, Object Detection, MLOps, Python, BM25, Weights & Biases, Sales",1.0,0.18000000000000002,0.27,0.72,0.657142857142857,0.25,0.44,0.9240586944444444,0.82,6,1,2,0,0,0,64,0.4,0.53,-1.0,120,False,False,0.4772133540963324,0.6066332264407223,0.9540566959921798,6,2,0.5553170087976539,0.4207793183249303,[],"{""current_duration_months"": 55, ""top_skills"": [""GCP"", ""Spring Boot"", ""Kubeflow"", ""Java"", ""GANs"", ""Figma"", ""Elasticsearch"", ""OpenCV""], ""career_excerpt"": ""Role 1 Company: Ola Title: Data Engineer Industry: Transportation Duration months: 55 Current: True Description: Mixed data science and analytics-engineering role at a marketing-analytics startup. Spent maybe 30% of my time on lightweight ML (clustering, classification, churn pre""}"
CAND_0000043,Cloud Engineer,Swiggy,Food Delivery,"Chandigarh, Chandigarh",India,8.3,"Role 1
Company: Swiggy
Title: Cloud Engineer
Industry: Food Delivery
Duration months: 30
Current: True
Description: Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setup using Locust. Worked closely with developers on testability patterns and with product on acceptance criteria. Recent work has been on shifting test responsibility into the dev team — moving from QA-as-gate to QA-as-coach. Career has been entirely in QA/test engineering.
Role 2
Company: HCL
Title: .NET Developer
Industry: IT Services
Duration months: 24
Current: False
Description: Cloud infrastructure and DevOps work at an enterprise SaaS company. Owned the AWS account architecture (VPC, IAM, networking), the Terraform modules for our service deployments, and the Kubernetes cluster operations. Designed the CI/CD pipelines (GitLab CI + ArgoCD) and the monitoring stack (Prometheus, Grafana, Loki). Strong on the infra and ops side; haven't done much application development.
Role 3
Company: Mindtree
Title: Frontend Engineer
Industry: IT Services
Duration months: 25
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.
Role 4
Company: Initech
Title: DevOps Engineer
Industry: Software
Duration months: 20
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.","Elasticsearch, OpenSearch, Airflow, Kubeflow, Fine-tuning LLMs, Haystack, OpenCV, TensorFlow, PEFT, LangChain, Weights & Biases, Reinforcement Learning, Deep Learning, Image Classification, Node.js, Project Management, Feature Engineering",1.0,0.14,0.30000000000000004,0.24,0.88,1.0,0.36,0.8641749999999999,1.0,6,0,2,0,2,0,182,0.04,0.72,-1.0,120,False,True,0.313227235031735,0.22675944648847432,0.799104124408384,27,8,0.46653123732251517,0.40316463201318453,[],"{""current_duration_months"": 30, ""top_skills"": [""Elasticsearch"", ""OpenSearch"", ""Airflow"", ""Kubeflow"", ""Fine-tuning LLMs"", ""Haystack"", ""OpenCV"", ""TensorFlow""], ""career_excerpt"": ""Role 1 Company: Swiggy Title: Cloud Engineer Industry: Food Delivery Duration months: 30 Current: True Description: Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setup usin""}"
CAND_0000023,Software Engineer,Acme Corp,Manufacturing,New York,USA,3.7,"Role 1
Company: Acme Corp
Title: Software Engineer
Industry: Manufacturing
Duration months: 14
Current: True
Description: Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setup using Locust. Worked closely with developers on testability patterns and with product on acceptance criteria. Recent work has been on shifting test responsibility into the dev team — moving from QA-as-gate to QA-as-coach. Career has been entirely in QA/test engineering.
Role 2
Company: Flipkart
Title: Frontend Engineer
Industry: E-commerce
Duration months: 30
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.","BigQuery, Marketing, Node.js, Django, Salesforce CRM, MongoDB, ETL, Redis, Illustrator, Rust",1.0,0.07,0.045,0.58,0.5285714285714286,0.25,0.28,1.0437591666666666,1.0,1,0,1,0,0,0,87,0.57,0.9,-1.0,30,False,False,0.32689896190216505,0.07262534225003217,0.6851782128514057,23,36,0.3849534638554217,0.40179870663918166,[],"{""current_duration_months"": 14, ""top_skills"": [""BigQuery"", ""Marketing"", ""Node.js"", ""Django"", ""Salesforce CRM"", ""MongoDB"", ""ETL"", ""Redis""], ""career_excerpt"": ""Role 1 Company: Acme Corp Title: Software Engineer Industry: Manufacturing Duration months: 14 Current: True Description: Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setu""}"
CAND_0000048,Mobile Developer,CRED,Fintech,"Hyderabad, Telangana",India,9.7,"Role 1
Company: CRED
Title: Mobile Developer
Industry: Fintech
Duration months: 28
Current: True
Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scratch and led the migration from a legacy AngularJS app. Strong on the frontend craft — accessibility, performance, animations — but limited backend exposure.
Role 2
Company: Cognizant
Title: Full Stack Developer
Industry: IT Services
Duration months: 20
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.
Role 3
Company: Stark Industries
Title: Mobile Developer
Industry: Manufacturing
Duration months: 51
Current: False
Description: Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the customer onboarding flow which involved orchestrating multiple downstream services. Solid on the Spring ecosystem, transaction handling, and the operational side of Java services. Looking to either go deeper on distributed systems or expand into modern application stacks.
Role 4
Company: Initech
Title: Full Stack Developer
Industry: Software
Duration months: 15
Current: False
Description: Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main shopping flow, push notification system, and the offline-first sync layer. Comfortable with the Android framework, Jetpack components, and the typical patterns (MVVM, Hilt, Coroutines). My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering.","Hadoop, Terraform, Vue.js, Content Writing, AWS",1.0,0.07,0.06,0.15,0.62,1.0,0.28,0.9995116666666666,1.0,1,0,1,0,1,0,87,0.65,0.42,0.4,120,True,False,0.041369120372280695,0.03682239819762422,0.5701432564640111,48,46,0.3184429769392033,0.318287470618798,[],"{""current_duration_months"": 28, ""top_skills"": [""Hadoop"", ""Terraform"", ""Vue.js"", ""Content Writing"", ""AWS""], ""career_excerpt"": ""Role 1 Company: CRED Title: Mobile Developer Industry: Fintech Duration months: 28 Current: True Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scratch a""}"
CAND_0000032,.NET Developer,Cognizant,IT Services,"Gurgaon, Haryana",India,8.1,"Role 1
Company: Cognizant
Title: .NET Developer
Industry: IT Services
Duration months: 28
Current: True
Description: Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the customer onboarding flow which involved orchestrating multiple downstream services. Solid on the Spring ecosystem, transaction handling, and the operational side of Java services. Looking to either go deeper on distributed systems or expand into modern application stacks.
Role 2
Company: HCL
Title: Cloud Engineer
Industry: IT Services
Duration months: 27
Current: False
Description: Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setup using Locust. Worked closely with developers on testability patterns and with product on acceptance criteria. Recent work has been on shifting test responsibility into the dev team — moving from QA-as-gate to QA-as-coach. Career has been entirely in QA/test engineering.
Role 3
Company: Globex Inc
Title: Mobile Developer
Industry: Manufacturing
Duration months: 40
Current: False
Description: Full-stack web application development at a SaaS company. Built React-based admin interfaces and the Node.js REST API backing them. Worked across the stack: frontend components, REST endpoint design, PostgreSQL schema, deployment via Docker/Kubernetes. Comfortable in most parts of a typical web stack though my comfort zone is the backend and database side. Recent learning has been on the testing and CI/CD discipline.","Speech Recognition, Project Management, REST APIs, CSS, Embeddings, Hadoop, Spark, Python, Data Pipelines, OpenCV",0.7,0.0,0.195,0.15,0.88,1.0,0.0,0.93021625,1.0,4,0,0,0,1,0,185,0.69,0.78,0.25,150,False,True,0.43228385588982443,0.3260609091484041,0.9049450549450548,10,5,0.42958351648351645,0.27972389743557685,"[""penalty_weak_product_ml_signal""]","{""current_duration_months"": 28, ""top_skills"": [""Speech Recognition"", ""Project Management"", ""REST APIs"", ""CSS"", ""Embeddings"", ""Hadoop"", ""Spark"", ""Python""], ""career_excerpt"": ""Role 1 Company: Cognizant Title: .NET Developer Industry: IT Services Duration months: 28 Current: True Description: Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the customer""}"
CAND_0000038,Java Developer,Swiggy,Food Delivery,"Coimbatore, Tamil Nadu",India,6.7,"Role 1
Company: Swiggy
Title: Java Developer
Industry: Food Delivery
Duration months: 31
Current: True
Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scratch and led the migration from a legacy AngularJS app. Strong on the frontend craft — accessibility, performance, animations — but limited backend exposure.
Role 2
Company: Globex Inc
Title: .NET Developer
Industry: Manufacturing
Duration months: 14
Current: False
Description: Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the customer onboarding flow which involved orchestrating multiple downstream services. Solid on the Spring ecosystem, transaction handling, and the operational side of Java services. Looking to either go deeper on distributed systems or expand into modern application stacks.
Role 3
Company: Hooli
Title: DevOps Engineer
Industry: Software
Duration months: 34
Current: False
Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scratch and led the migration from a legacy AngularJS app. Strong on the frontend craft — accessibility, performance, animations — but limited backend exposure.","Kubeflow, Django, Redux, Weaviate, PowerPoint, Figma, Docker, GraphQL, Agile, MLOps, Azure",0.7,0.0,0.105,0.15,0.9571428571428572,1.0,0.2,1.0114778333333332,1.0,2,0,0,0,1,0,93,0.2,0.75,-1.0,90,True,True,0.0562469569263082,0.11101550608824924,0.6304324782700869,46,29,0.34362974348102604,0.24330170788355407,"[""penalty_weak_product_ml_signal""]","{""current_duration_months"": 31, ""top_skills"": [""Kubeflow"", ""Django"", ""Redux"", ""Weaviate"", ""PowerPoint"", ""Figma"", ""Docker"", ""GraphQL""], ""career_excerpt"": ""Role 1 Company: Swiggy Title: Java Developer Industry: Food Delivery Duration months: 31 Current: True Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scr""}"
CAND_0000035,Full Stack Developer,Globex Inc,Manufacturing,"Hyderabad, Telangana",India,4.3,"Role 1
Company: Globex Inc
Title: Full Stack Developer
Industry: Manufacturing
Duration months: 33
Current: True
Description: Full-stack web application development at a SaaS company. Built React-based admin interfaces and the Node.js REST API backing them. Worked across the stack: frontend components, REST endpoint design, PostgreSQL schema, deployment via Docker/Kubernetes. Comfortable in most parts of a typical web stack though my comfort zone is the backend and database side. Recent learning has been on the testing and CI/CD discipline.
Role 2
Company: Wipro
Title: Software Engineer
Industry: IT Services
Duration months: 18
Current: False
Description: Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from scratch and led the migration from a legacy AngularJS app. Strong on the frontend craft — accessibility, performance, animations — but limited backend exposure.","Snowflake, BigQuery, Recommendation Systems, Data Pipelines, Docker, MongoDB, PostgreSQL, Sales, Kafka, Speech Recognition, BentoML, Go, Next.js, dbt",0.7,0.0,0.09,0.15,0.62,1.0,0.2,0.9173813888888889,0.82,2,0,0,0,0,0,146,0.34,0.5,-1.0,60,False,False,0.34097172618971217,0.2771427385661601,0.8364738805970149,20,7,0.3803421641791045,0.20027940430306113,"[""penalty_weak_product_ml_signal""]","{""current_duration_months"": 33, ""top_skills"": [""Snowflake"", ""BigQuery"", ""Recommendation Systems"", ""Data Pipelines"", ""Docker"", ""MongoDB"", ""PostgreSQL"", ""Sales""], ""career_excerpt"": ""Role 1 Company: Globex Inc Title: Full Stack Developer Industry: Manufacturing Duration months: 33 Current: True Description: Full-stack web application development at a SaaS company. Built React-based admin interfaces and the Node.js REST API backing them. Worked across the stac""}"
