candidate_id,current_title,current_company,current_industry,location,country,years_of_experience,career_text,skills_text,jd_fit_gate_score,career_evidence_score,jd_keyword_score,title_score,experience_score,location_score,product_ml_signal,hireability_modifier,consistency_modifier,ai_term_count,career_ai_term_count,system_evidence_count,ranking_system_evidence,trendy_framework_count,expert_zero_duration_count,last_active_days,recruiter_response_rate,interview_completion_rate,offer_acceptance_rate,notice_period_days,open_to_work_flag,willing_to_relocate,dense_score,bm25_score,rrf_score,dense_rank,bm25_rank,skill_match_score,final_score,flags_json,evidence_json
CAND_0055905,Senior Machine Learning Engineer,Flipkart,E-commerce,London,UK,8.1,"Role 1
Company: Flipkart
Title: Senior Machine Learning Engineer
Industry: E-commerce
Duration months: 14
Current: True
Description: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. Led a team of 4 engineers across the rollout.
Role 2
Company: Uber
Title: Senior AI Engineer
Industry: Transportation
Duration months: 37
Current: False
Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.
Role 3
Company: Rephrase.ai
Title: Senior Applied Scientist
Industry: AI/ML
Duration months: 45
Current: False
Description: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases.","Elasticsearch, ASR, Hugging Face Transformers, Haystack, Speech Recognition, LangChain, Python, LLMs, OpenSearch, Fine-tuning LLMs, Information Retrieval, Embeddings, Vector Search",1.0,1.0,1.0,0.95,0.88,0.25,1.0,1.1498144444444445,0.82,21,17,9,5,4,0,46,0.87,0.67,0.93,30,True,False,0.9213103113996035,0.9422825425096082,0.961166253101737,2,5,0.9334498759305209,0.8801012034180257,[],"{""current_duration_months"": 14, ""top_skills"": [""Elasticsearch"", ""ASR"", ""Hugging Face Transformers"", ""Haystack"", ""Speech Recognition"", ""LangChain"", ""Python"", ""LLMs""], ""career_excerpt"": ""Role 1 Company: Flipkart Title: Senior Machine Learning Engineer Industry: E-commerce Duration months: 14 Current: True Description: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retr""}"
CAND_0046525,Senior Machine Learning Engineer,Genpact AI,AI Services,"Pune, Maharashtra",India,6.1,"Role 1
Company: Genpact AI
Title: Senior Machine Learning Engineer
Industry: AI Services
Duration months: 48
Current: True
Description: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Most of the engineering effort went into the boring infrastructure: index versioning, embedding versioning, rollback paths, and the dashboards that let recruiters trust the new system. Mentored two junior engineers through this rollout.
Role 2
Company: LinkedIn
Title: Senior Machine Learning Engineer
Industry: Internet
Duration months: 25
Current: False
Description: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases.","Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex, Information Retrieval, TensorFlow, LLMs, NLP, Sentence Transformers, YOLO, Forecasting, pgvector, Image Classification, Weights & Biases, TTS, Qdrant",1.0,1.0,0.855,0.95,0.88,1.0,1.0,1.1227370277777777,0.82,18,12,6,4,3,0,40,0.88,0.81,0.48,60,True,True,0.626989680376105,0.9195103659340754,0.8634370015948962,16,6,0.9271311004784689,0.8535580212114597,[],"{""current_duration_months"": 48, ""top_skills"": [""Elasticsearch"", ""Redux"", ""LangChain"", ""Machine Learning"", ""LlamaIndex"", ""Information Retrieval"", ""TensorFlow"", ""LLMs""], ""career_excerpt"": ""Role 1 Company: Genpact AI Title: Senior Machine Learning Engineer Industry: AI Services Duration months: 48 Current: True Description: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker va""}"
CAND_0079387,AI Engineer,Microsoft,Software,"Trivandrum, Kerala",India,6.9,"Role 1
Company: Microsoft
Title: AI Engineer
Industry: Software
Duration months: 22
Current: True
Description: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-day retention by 6% and time spent per session by 14%.
Role 2
Company: upGrad
Title: NLP Engineer
Industry: EdTech
Duration months: 22
Current: False
Description: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Designed the evaluation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 31% for the supported categories.
Role 3
Company: Ola
Title: Applied ML Engineer
Industry: Transportation
Duration months: 18
Current: False
Description: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now used by the customer success team to prioritize outreach. Designed the model monitoring stack: data drift detection, prediction distribution checks, and alerting. Mentored a junior engineer through their first end-to-end ML project last year.
Role 4
Company: BYJU'S
Title: AI Engineer
Industry: EdTech
Duration months: 19
Current: False
Description: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.","scikit-learn, Recommendation Systems, Python, Time Series, Sentence Transformers, JavaScript, Illustrator, Vector Search, Next.js, OpenSearch, YOLO, Reinforcement Learning, QLoRA, LoRA, BM25, Learning to Rank, Haystack, BentoML, ASR, Kubeflow",1.0,1.0,0.915,0.95,0.9857142857142858,0.65,1.0,1.1397399722222221,0.82,19,13,7,4,4,0,68,0.81,0.9,0.5,30,True,False,0.5764906214765904,0.7104698904928606,0.7484944293887383,22,21,0.8885483288166214,0.8304255190349175,[],"{""current_duration_months"": 22, ""top_skills"": [""scikit-learn"", ""Recommendation Systems"", ""Python"", ""Time Series"", ""Sentence Transformers"", ""JavaScript"", ""Illustrator"", ""Vector Search""], ""career_excerpt"": ""Role 1 Company: Microsoft Title: AI Engineer Industry: Software Duration months: 22 Current: True Description: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sent""}"
CAND_0046064,Senior NLP Engineer,Salesforce,Software,"Coimbatore, Tamil Nadu",India,8.9,"Role 1
Company: Salesforce
Title: Senior NLP Engineer
Industry: Software
Duration months: 36
Current: True
Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.
Role 2
Company: Verloop.io
Title: Lead AI Engineer
Industry: Conversational AI
Duration months: 34
Current: False
Description: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases.
Role 3
Company: Amazon
Title: Senior ML Engineer — Search & Ranking
Industry: Internet
Duration months: 36
Current: False
Description: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months.","Python, Image Classification, OpenCV, Pinecone, Haystack, Six Sigma, TTS, Diffusion Models, BM25, YOLO, OpenSearch, PEFT, Deep Learning, Elasticsearch, QLoRA, Semantic Search",1.0,1.0,1.0,0.58,0.88,0.65,1.0,1.1319935277777777,0.82,23,17,6,6,3,0,67,0.78,0.8,-1.0,30,True,False,0.849657445743147,0.9968633735250805,0.9760624679979518,3,2,0.8913187403993855,0.8273529771616994,[],"{""current_duration_months"": 36, ""top_skills"": [""Python"", ""Image Classification"", ""OpenCV"", ""Pinecone"", ""Haystack"", ""Six Sigma"", ""TTS"", ""Diffusion Models""], ""career_excerpt"": ""Role 1 Company: Salesforce Title: Senior NLP Engineer Industry: Software Duration months: 36 Current: True Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 20""}"
CAND_0071974,Senior AI Engineer,Netflix,Media,"Vizag, Andhra Pradesh",India,7.8,"Role 1
Company: Netflix
Title: Senior AI Engineer
Industry: Media
Duration months: 50
Current: True
Description: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months.
Role 2
Company: Meta
Title: Staff Machine Learning Engineer
Industry: Internet
Duration months: 28
Current: False
Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.
Role 3
Company: Mad Street Den
Title: Staff Machine Learning Engineer
Industry: AI/ML
Duration months: 14
Current: False
Description: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. The most interesting technical challenge was the cold-start problem for new users; I designed an exploration-exploitation policy using Thompson sampling that improved new-user retention by 11% in the first month.","LoRA, Learning to Rank, Weaviate, PEFT, BM25, Pinecone, Machine Learning, Information Retrieval, Qdrant, Embeddings, CNN, RAG, MLOps, Forecasting, Sentence Transformers, Content Writing, Speech Recognition, Elasticsearch, Object Detection",1.0,1.0,0.75,0.95,0.8857142857142858,0.65,1.0,1.129955472222222,0.82,16,10,9,4,2,0,77,0.76,0.85,-1.0,45,True,False,0.6804525075614799,0.8316860278533045,0.8197150072150072,12,17,0.8864145021645022,0.821319312249891,[],"{""current_duration_months"": 50, ""top_skills"": [""LoRA"", ""Learning to Rank"", ""Weaviate"", ""PEFT"", ""BM25"", ""Pinecone"", ""Machine Learning"", ""Information Retrieval""], ""career_excerpt"": ""Role 1 Company: Netflix Title: Senior AI Engineer Industry: Media Duration months: 50 Current: True Description: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone ""}"
CAND_0011687,Senior NLP Engineer,Niramai,HealthTech AI,"Indore, Madhya Pradesh",India,7.8,"Role 1
Company: Niramai
Title: Senior NLP Engineer
Industry: HealthTech AI
Duration months: 52
Current: True
Description: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months.
Role 2
Company: Krutrim
Title: Senior Machine Learning Engineer
Industry: AI/ML
Duration months: 40
Current: False
Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.","TensorFlow, OpenSearch, FAISS, PEFT, Feature Engineering, Embeddings, LangChain, MLOps, Weaviate, PyTorch, Image Classification, Semantic Search, LlamaIndex",1.0,1.0,0.9,0.58,0.8857142857142858,0.65,1.0,1.1605400555555554,0.82,19,10,5,4,3,0,53,0.89,0.77,0.6,15,True,False,0.5527736002743993,0.8870299391467328,0.7722740940022156,29,11,0.8205822282006647,0.7809012066571986,[],"{""current_duration_months"": 52, ""top_skills"": [""TensorFlow"", ""OpenSearch"", ""FAISS"", ""PEFT"", ""Feature Engineering"", ""Embeddings"", ""LangChain"", ""MLOps""], ""career_excerpt"": ""Role 1 Company: Niramai Title: Senior NLP Engineer Industry: HealthTech AI Duration months: 52 Current: True Description: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → ""}"
CAND_0005260,Senior NLP Engineer,Netflix,Media,"Chennai, Tamil Nadu",India,5.2,"Role 1
Company: Netflix
Title: Senior NLP Engineer
Industry: Media
Duration months: 34
Current: True
Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.
Role 2
Company: Yellow.ai
Title: Senior NLP Engineer
Industry: AI/ML
Duration months: 27
Current: False
Description: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases.","Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval, Speech Recognition, Semantic Search, Deep Learning, Python, NLP, MLflow, LoRA, RAG, Kubeflow, pgvector, Haystack, Hugging Face Transformers, Embeddings",1.0,1.0,0.9,0.58,0.88,1.0,1.0,1.0763405555555556,0.82,19,15,6,5,3,0,53,0.86,0.73,0.93,60,False,True,0.7815076953598048,0.8840972431375307,0.878834991708126,7,12,0.8696504975124378,0.7675528816979962,[],"{""current_duration_months"": 34, ""top_skills"": [""Statistical Modeling"", ""MLOps"", ""Snowflake"", ""Prompt Engineering"", ""Information Retrieval"", ""Speech Recognition"", ""Semantic Search"", ""Deep Learning""], ""career_excerpt"": ""Role 1 Company: Netflix Title: Senior NLP Engineer Industry: Media Duration months: 34 Current: True Description: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K hig""}"
CAND_0080766,Staff Machine Learning Engineer,Salesforce,Software,"Coimbatore, Tamil Nadu",India,8.8,"Role 1
Company: Salesforce
Title: Staff Machine Learning Engineer
Industry: Software
Duration months: 38
Current: True
Description: Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most of my time went into the boring-but-critical operational layer — feature monitoring, drift detection, retraining cadence — rather than the modeling itself. Worked closely with the product and growth teams.
Role 2
Company: Aganitha
Title: Staff Machine Learning Engineer
Industry: AI/ML
Duration months: 12
Current: False
Description: Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. The work spanned data infrastructure, ranking algorithms, evaluation methodology, and direct collaboration with product/PM on what 'relevance' actually means for our users. Spent a fair amount of time on the eval side — building offline metrics that actually correlated with online engagement, which turned out to be the hardest part.
Role 3
Company: Swiggy
Title: Lead AI Engineer
Industry: Food Delivery
Duration months: 43
Current: False
Description: Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the modeling — it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. I owned all three across roughly 14 months.
Role 4
Company: Haptik
Title: Senior Machine Learning Engineer
Industry: Conversational AI
Duration months: 12
Current: False
Description: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. Led a team of 4 engineers across the rollout.","Search Backend, LoRA, Vue.js, Tally, Search & Discovery, MLOps, Search Infrastructure, MLflow, Open-source ML libraries, Information Retrieval Systems, Elasticsearch, Computer Vision, Deep Learning, Natural Language Processing, QLoRA, YOLO, OpenSearch, Python, Milvus, ASR, TensorFlow",1.0,1.0,0.72,0.95,0.88,1.0,1.0,1.0647068333333334,0.82,16,10,13,3,0,0,84,0.66,0.88,0.63,0,False,True,0.5562615906817666,0.6660499751085603,0.6892875383043922,28,29,0.8613862614913176,0.7520415477743927,[],"{""current_duration_months"": 38, ""top_skills"": [""Search Backend"", ""LoRA"", ""Vue.js"", ""Tally"", ""Search & Discovery"", ""MLOps"", ""Search Infrastructure"", ""MLflow""], ""career_excerpt"": ""Role 1 Company: Salesforce Title: Staff Machine Learning Engineer Industry: Software Duration months: 38 Current: True Description: Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experim""}"
CAND_0044222,AI Engineer,PolicyBazaar,Insurance Tech,"Vizag, Andhra Pradesh",India,7.7,"Role 1
Company: PolicyBazaar
Title: AI Engineer
Industry: Insurance Tech
Duration months: 49
Current: True
Description: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.
Role 2
Company: InMobi
Title: AI Engineer
Industry: AdTech
Duration months: 43
Current: False
Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell time vs. downstream conversion) — that work was as important as the modeling itself.","Vector Search, LlamaIndex, OpenSearch, Java, Qdrant, Feature Engineering, Time Series, Weaviate, Content Writing, NLP, BM25, Deep Learning, LangChain, Hugging Face Transformers, Fine-tuning LLMs, ASR, Diffusion Models, QLoRA, Hadoop",1.0,1.0,0.9299999999999999,0.95,0.9,0.65,1.0,1.0831455833333332,0.82,20,7,5,3,2,0,48,0.6,0.89,0.3,60,True,False,0.5413676664501077,0.6104462220530652,0.5955008488964346,33,54,0.8381502546689305,0.7444277721417756,[],"{""current_duration_months"": 49, ""top_skills"": [""Vector Search"", ""LlamaIndex"", ""OpenSearch"", ""Java"", ""Qdrant"", ""Feature Engineering"", ""Time Series"", ""Weaviate""], ""career_excerpt"": ""Role 1 Company: PolicyBazaar Title: AI Engineer Industry: Insurance Tech Duration months: 49 Current: True Description: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to""}"
CAND_0060054,AI Engineer,Mad Street Den,AI/ML,"Jaipur, Rajasthan",India,6.4,"Role 1
Company: Mad Street Den
Title: AI Engineer
Industry: AI/ML
Duration months: 31
Current: True
Description: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.
Role 2
Company: Zomato
Title: Recommendation Systems Engineer
Industry: Food Delivery
Duration months: 24
Current: False
Description: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-day retention by 6% and time spent per session by 14%.
Role 3
Company: Uber
Title: AI Engineer
Industry: Transportation
Duration months: 21
Current: False
Description: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell time vs. downstream conversion) — that work was as important as the modeling itself.","Diffusion Models, TensorFlow, Weaviate, FAISS, Time Series, Feature Engineering, Prompt Engineering, Elasticsearch, Semantic Search, Recommendation Systems",1.0,1.0,0.63,0.95,0.9142857142857144,1.0,1.0,1.0660555555555555,0.82,14,11,7,4,0,0,107,0.86,0.78,-1.0,15,False,True,0.6951853012490308,0.587189198839791,0.6735774647887324,11,65,0.8500732394366197,0.7431047456150235,[],"{""current_duration_months"": 31, ""top_skills"": [""Diffusion Models"", ""TensorFlow"", ""Weaviate"", ""FAISS"", ""Time Series"", ""Feature Engineering"", ""Prompt Engineering"", ""Elasticsearch""], ""career_excerpt"": ""Role 1 Company: Mad Street Den Title: AI Engineer Industry: AI/ML Duration months: 31 Current: True Description: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-ba""}"
